Modelo,Escenario,Accuracy,Macro F1 Score,F1 Bajo,Precision Bajo,Recall Bajo,F1 Alto,Precision Alto,Recall Alto
Random Forest,Todas las variables,0.621,0.57,0.718,0.636,0.824,0.421,0.571,0.333
Decision Tree,Todas las variables,0.621,0.589,0.703,0.65,0.765,0.476,0.556,0.417
Naive Bayes,Todas las variables,0.655,0.634,0.722,0.684,0.765,0.545,0.6,0.5
Logistic Regression,Todas las variables,0.621,0.604,0.686,0.667,0.706,0.522,0.545,0.5
KNN,Todas las variables,0.586,0.582,0.625,0.667,0.588,0.538,0.5,0.583
SVM,Todas las variables,0.552,0.416,0.698,0.577,0.882,0.133,0.333,0.083
Random Forest,Variables significativas,0.552,0.491,0.667,0.591,0.765,0.316,0.429,0.25
Decision Tree,Variables significativas,0.621,0.604,0.686,0.667,0.706,0.522,0.545,0.5
Naive Bayes,Variables significativas,0.621,0.604,0.686,0.667,0.706,0.522,0.545,0.5
Logistic Regression,Variables significativas,0.552,0.515,0.649,0.6,0.706,0.381,0.444,0.333
KNN,Variables significativas,0.448,0.414,0.556,0.526,0.588,0.273,0.3,0.25
SVM,Variables significativas,0.586,0.517,0.7,0.609,0.824,0.333,0.5,0.25
